name,gender,boy,girl
Jas,M,11,1
Sun,M,3,0
Thu,F,1,6
Jan,M,149,16
Sunday,M,7,0
Saturday,M,1,0
May,F,1,10
June,F,6,8
July,M,3,0
August,M,124,2
Jun,M,22,1
November,M,1,0
Mar,M,5,0
Mon,M,5,0
Dec,M,1,0
January,F,0,7
April,F,0,325
September,F,0,2
October,F,0,1
Tuesday,F,0,2
A,M,1,0
A.,M,14,0
A.G.,M,1,0
A.Hannan,M,1,0
A.J,M,3,0
A.J.,M,8,0
A.K.I.L.,M,1,0
A.S.M.,M,1,0
Aaban,M,6,0
Aabel,M,1,0
Aabhar,M,1,0
Aabid,M,5,0
Aabir,M,3,0
Aabis,M,1,0
Aadam,M,18,0
Aadan,M,1,0
Aadarsh,M,4,0
Aadarsh ,M,1,0
Aadeep,M,1,0
Aaden,M,48,0
Aadesh,M,4,0
Aadharsh,M,1,0
Aadharv,M,1,0
Aadhav,M,3,0
Aadhavaguru,M,1,0
Aadhavan,M,4,0
Aadheen,M,1,0
Aadhi,M,2,0
Aadhil,M,1,0
Aadhiran,M,1,0
Aadhiteya,M,1,0
Aadhith,M,1,0
Aadhithyan,M,1,0
Aadhitya,M,1,0
Aadhya,M,2,0
Aadi,M,19,0
Aadiev,M,1,0
Aadil,M,14,0
Aadineer,M,1,0
Aadish,M,1,0
Aadit,M,5,0
Aadit ,M,1,0
Aadith ,M,1,0
Aadithya,M,1,0
Aaditya,M,12,0
Aadl,M,1,0
Aadle,M,1,0
Aadon,M,3,0
Aadrian,M,1,0
Aad-Ty,M,1,0
Aadvik,M,11,0
Aadyant,M,1,0
Aadyn,M,7,0
Aaen,M,1,0
Aaesha,F,0,1
Aafiq,M,1,0
Aaftaab,M,1,0
Aaftab ,M,1,0
Aagam,M,4,0
Aagaman,M,2,0
Aagamjit,M,1,0
Aagasjot ,M,1,0
Aage,M,2,0
Aagm,M,1,0
Aagman,M,1,0
Aagmanpal,M,1,0
Aahaan,M,3,0
Aahaan ,M,2,0
Aahad,M,2,0
Aahan,M,2,0
Aahil,M,34,0
Aahil ,M,2,0
Aahron,M,1,0
Aaidan,M,3,0
Aaiden,M,5,0
Aaiden-John,M,1,0
Aaiez,M,1,0
Aaijay,M,1,0
Aaisha,F,0,1
Aakarsh,M,2,0
Aakash,M,8,0
Aakashdeep,M,2,0
Aakesh,M,2,0
Aakif,M,2,0
Aalam,M,1,0
Aalam ,M,1,0
Aalay,M,2,0
Aaleem,M,1,0
Aali,M,1,0
Aalia,F,0,1
Aaliaan,M,1,0
Aalim,M,1,0
Aaliya,F,0,1
Aaliyan,M,1,0
Aalok,M,1,0
Aaloke,M,1,0
Aalt,M,2,0
Aaman,M,2,0
Aamanda,F,0,1
Aamar,M,2,0
Aameen,M,1,0
Aamer,M,1,0
Aamil,M,2,0
Aamir,M,12,0
Aamir ,M,1,0
Aamish,M,1,0
Aamna,F,0,2
Aamon,M,1,0
Aamr,M,1,0
Aanand,M,1,0
Aanav,M,5,0
Aanay,M,2,0
Aanders,M,1,0
Aanik,M,1,0
Aanish,M,1,0
Aansh,M,1,0
Aansh ,M,1,0
Aantyn,M,1,0
Aanu,F,0,1
Aapina'Kos,M,1,0
Aaqib,M,2,0
Aaqil,M,4,0
Aarab,M,1,0
Aaradh,M,1,0
Aaradhy,M,1,0
Aaradhya,M,1,0
Aaraf,M,1,0
Aaraiz,M,1,0
Aarambha,M,1,0
Aaran,M,5,0
Aarash,M,2,0
Aarav,M,194,0
Aaravbir,M,2,0
Aaravjeet,M,1,0
Aaravjeet ,M,1,0
Aaravjot,M,1,0
Aare,M,1,0
Aarell,M,1,0
Aaren,M,12,1
Aaren ,M,1,0
Aarez,M,2,0
Aari,M,1,0
Aariah,M,1,0
Aarian,M,1,0
Aarian ,M,1,0
Aarib,M,3,0
Aaric,M,10,0
Aarick,M,1,0
Aarien,M,1,0
Aarif,M,4,0
Aarif-Husein,M,1,0
Aarij,M,2,0
Aarik,M,4,0
Aarin,M,4,3
Aarion,M,1,0
Aaris,M,1,0
Aarish,M,7,0
Aarishveer,M,1,0
Aarit,M,4,0
Aarius,M,1,0
Aariv,M,6,0
Aariv ,M,1,0
Aariy,M,1,0
Aariyan,M,2,0
Aariz,M,48,0
Aarjan,M,1,0
Aarjav,M,2,0
Aarjav ,M,1,0
Aarjun,M,1,0
Aarmaan,M,1,0
Aarmin,M,1,0
Aarnav,M,16,0
Aarnav ,M,4,0
Aaro,M,5,0
Aaro ,M,1,0
Aarohan,M,2,0
Aaron,M,4150,14
Aarón,M,1,0
Aaron ,M,46,0
Aaron-Andrew,M,1,0
Aaron-Clive,M,1,0
Aaron-Conrad,M,1,0
Aaron-Dean,M,1,0
Aarondeep,M,6,0
Aaron-Gabriel,M,1,0
Aaron-Grae,M,1,0
Aaron-Hagen,M,1,0
Aaron-Jaedon,M,1,0
